Size,Page,Paper,Cover,sku,weight,Wildcard,100,250,500,1000,2500,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000,55000,60000,65000,70000,75000,80000,85000,90000,95000,100000
"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",100 lb Gloss Book (C2S) with Aqueous Coating,Recycled 100 lb. Dull Cover with Matte Finish ,none,1.4,none,,$353.86,$395.00,$445.73,$687.56 ,"$1,084.89 ","$1,878.26 ","$2,750.46 ","$3,604.48 ","$4,451.14 ","$5,290.43 ","$6,122.38 ","$6,946.97 ","$7,764.23 ","$8,574.15 ","$9,376.75 ","$10,172.03 ","$10,959.99 ","$11,740.65 ","$12,514.00 ","$13,286.24 ","$14,045.38 ","$14,797.23 ","$15,541.81 ","$16,279.12 "
"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",100 lb Gloss Book (C2S) with Aqueous Coating,Self Cover,none,1.4,none,$282.60,$270.00,$294.68,$330.08,$498.88,$797.80 ,"$1,249.00 ","$1,733.72 ","$2,221.96 ","$2,703.72 ","$3,179.00 ","$3,647.80 ","$4,110.12 ","$4,565.96 ","$5,015.32 ","$5,458.20 ","$5,894.60 ","$6,324.52 ","$6,747.96 ","$7,164.92 ","$7,575.40 ","$7,979.40 ","$8,376.92 ","$8,767.96 ","$9,152.52 "
"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",70 lb. Offset Smooth White,100 lb. Gloss Cover (C2S) with Aqueous Coating,none,1.4,none,$282.60,$343.60,$385.08,$419.92,$611.92,$959.20 ,"$1,626.60 ","$2,339.28 ","$3,042.24 ","$3,735.48 ","$4,419.00 ","$5,092.80 ","$5,756.88 ","$6,411.24 ","$7,055.88 ","$7,690.80 ","$8,316.00 ","$8,931.48 ","$9,537.24 ","$10,133.28 ","$10,719.60 ","$11,296.20 ","$11,863.08 ","$12,420.24 ","$12,967.68 "
"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",70 lb. Offset Smooth White,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating All Sides,none,1.4,none,,$388.20,$388.20,$438.16,$675.12 ,"$1,065.60 ","$1,841.00 ","$2,694.92 ","$3,532.36 ","$4,363.32 ","$5,187.80 ","$6,005.80 ","$6,817.32 ","$7,622.36 ","$8,420.92 ","$9,213.00 ","$9,998.60 ","$10,777.72 ","$11,550.36 ","$12,316.52 ","$13,076.20 ","$13,829.40 ","$14,576.12 ","$15,316.36 ","$16,050.12 "
"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",70 lb. Offset Smooth White,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating Back and Front Cover ,none,1.4,none,,$388.20,$388.20,$438.16,$675.12 ,"$1,065.60 ","$1,841.00 ","$2,694.92 ","$3,532.36 ","$4,363.32 ","$5,187.80 ","$6,005.80 ","$6,817.32 ","$7,622.36 ","$8,420.92 ","$9,213.00 ","$9,998.60 ","$10,777.72 ","$11,550.36 ","$12,316.52 ","$13,076.20 ","$13,829.40 ","$14,576.12 ","$15,316.36 ","$16,050.12 "
"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",70 lb. Offset Smooth White,Recycled 100 lb. Dull Cover with Matte Finish ,none,1.4,none,,$353.86,$395.00,$445.73,$687.56 ,"$1,084.89 ","$1,878.26 ","$2,750.46 ","$3,604.48 ","$4,451.14 ","$5,290.43 ","$6,122.38 ","$6,946.97 ","$7,764.23 ","$8,574.15 ","$9,376.75 ","$10,172.03 ","$10,959.99 ","$11,740.65 ","$12,514.00 ","$13,286.24 ","$14,045.38 ","$14,797.23 ","$15,541.81 ","$16,279.12 "
"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",70 lb. Offset Smooth White,Self Cover,none,1.4,none,$282.60,$270.00,$294.68,$330.08,$498.88,$797.80 ,"$1,249.00 ","$1,733.72 ","$2,221.96 ","$2,703.72 ","$3,179.00 ","$3,647.80 ","$4,110.12 ","$4,565.96 ","$5,015.32 ","$5,458.20 ","$5,894.60 ","$6,324.52 ","$6,747.96 ","$7,164.92 ","$7,575.40 ","$7,979.40 ","$8,376.92 ","$8,767.96 ","$9,152.52 "
"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",80 lb. Gloss Book (C2S) with Aqueous Coating,100 lb. Gloss Cover (C2S) with Aqueous Coating,none,1.4,none,,$329.02,$369.14,$402.04,$588.25,$921.18 ,"$1,566.12 ","$2,267.01 ","$2,950.92 ","$3,625.41 ","$4,327.20 ","$4,988.04 ","$5,639.38 ","$6,281.21 ","$6,913.54 ","$7,536.36 ","$8,149.68 ","$8,753.50 ","$9,347.81 ","$9,932.62 ","$10,507.92 ","$11,073.72 ","$11,630.02 ","$12,176.81 ","$12,714.10 "
"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",80 lb. Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating All Sides,none,1.4,none,,$333.22,$372.26,$420.28,$651.45 ,"$1,027.58 ","$1,780.52 ","$2,622.65 ","$3,441.04 ","$4,253.25 ","$5,096.00 ","$5,901.04 ","$6,699.82 ","$7,492.33 ","$8,278.58 ","$9,058.56 ","$9,832.28 ","$10,599.74 ","$11,360.93 ","$12,115.86 ","$12,864.52 ","$13,606.92 ","$14,343.06 ","$15,072.93 ","$15,796.54 "
"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",80 lb. Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating Back and Front Cover ,none,1.4,none,,$333.22,$372.26,$420.28,$651.45 ,"$1,027.58 ","$1,780.52 ","$2,622.65 ","$3,441.04 ","$4,253.25 ","$5,096.00 ","$5,901.04 ","$6,699.82 ","$7,492.33 ","$8,278.58 ","$9,058.56 ","$9,832.28 ","$10,599.74 ","$11,360.93 ","$12,115.86 ","$12,864.52 ","$13,606.92 ","$14,343.06 ","$15,072.93 ","$15,796.54 "
