sku,Size ,Color,weight,Paper,Coating,Turnaround,2000,pdfproof,3000,4000,5000,10000,15000,20000,1000,500,2500,7500
bookmarks_8271cdb20b81832ad2c4355051bcc3fb," 8.5""x3.66""",  4:1-Full color on front & B/W back,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,134,Send me PDF proof,164,175,193,392,585,775,97,78,150,295
bookmarks_201937aa475272d9cee26167d2d22def," 8.5""x3.66""",  4:4-Full color on both sides,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,129,Do not send DF proof,159,170,188,387,580,770,92,73,145,290
bookmarks_74bbe0d1fcb50314c7b89cffd09ce36b," 8.5""x3.66""",  4:4-Full color on both sides,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,134,Send me PDF proof,164,175,193,392,585,775,97,78,150,295
bookmarks_faf255d4473d82dfc6d8b1a2a4d6f9df, 8.5x2.75,  4:0-Full color on front side,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,69,Do not send DF proof,72,80,105,208,320,420,53,37,79,168
bookmarks_7431b7d6427f92a14bd209171f7d89dc, 8.5x2.75,  4:0-Full color on front side,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,74,Send me PDF proof,77,85,110,213,325,425,58,42,84,173
bookmarks_4910024821e5aa26debe1e94a9ed1781, 8.5x2.75,  4:1-Full color on front & B/W back,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,70,Do not send DF proof,80,88,110,220,342,437,54,44,80,170
bookmarks_0f0853dd4da149526a16a0301611d869, 8.5x2.75,  4:1-Full color on front & B/W back,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,75,Send me PDF proof,85,93,115,225,347,442,59,49,85,175
bookmarks_e99ca9f7edd0b4257d30b408d9f24fe7, 8.5x2.75,  4:4-Full color on both sides,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,70,Do not send DF proof,80,88,110,220,342,437,54,44,80,170
bookmarks_ea163a90aede45fe4a7eb9a315de2e8e, 8.5x2.75,  4:4-Full color on both sides,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,75,Send me PDF proof,85,93,115,225,347,442,59,49,85,175
bookmarks_37a15cac891ea03769e3f2f6ffa62ef8, 8.5x2.75,  4:0-Full color on front side,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,69,Do not send DF proof,72,80,105,208,320,420,53,37,79,168
bookmarks_4617fb0a9ac48111d228dd09a34f609f, 8.5x2.75,  4:0-Full color on front side,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,74,Send me PDF proof,77,85,110,213,325,425,58,42,84,173
bookmarks_2e38a1629433e6c809fc88155a94d962, 8.5x2.75,  4:1-Full color on front & B/W back,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,70,Do not send DF proof,80,88,110,220,342,437,54,44,80,170
bookmarks_8882af2aa19c3f427fe555da51a88b5f, 8.5x2.75,  4:1-Full color on front & B/W back,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,75,Send me PDF proof,85,93,115,225,347,442,59,49,85,175
bookmarks_37aec0859134ce88662acd68119c927d, 8.5x2.75,  4:4-Full color on both sides,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,70,Do not send DF proof,80,88,110,220,342,437,54,44,80,170
bookmarks_db39a8d037275ea91c986c3026463b82, 8.5x2.75,  4:4-Full color on both sides,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,75,Send me PDF proof,85,93,115,225,347,442,59,49,85,175
