catalogs_063a1d4e70b273c768c00eaf83a8931f,5.5x8.5,4/4 (Full Color Both Sides),68 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,3480,4090,4700,5310,5624,5938,6252,6566,6880,7192,7504,7816,8128,8440,8774,9108,9442,9776,10110,10456,10802,11148,11494,11840,2870
catalogs_9f0fd8dc742e275bf745a147b749e0f1,5.5x8.5,4/4 (Full Color Both Sides),72 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,3480,4090,4700,5310,5624,5938,6252,6566,6880,7192,7504,7816,8128,8440,8774,9108,9442,9776,10110,10456,10802,11148,11494,11840,2870
catalogs_b6d022e1bd3775129e065be33991d010,5.5x8.5,4/4 (Full Color Both Sides),72 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,3615,4240,4865,5490,5790,6090,6390,6690,6990,7354,7718,8082,8446,8810,9170,9530,9890,10250,10610,10958,11306,11654,12002,12350,2990
catalogs_bcda375ffcbed97ebdddf6af5999fe55,5.5x8.5,4/4 (Full Color Both Sides),76 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,3615,4240,4865,5490,5790,6090,6390,6690,6990,7354,7718,8082,8446,8810,9170,9530,9890,10250,10610,10958,11306,11654,12002,12350,2990
catalogs_ba33c056dc85e1165b1c7d173bca747f,5.5x8.5,4/4 (Full Color Both Sides),76 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,3740,4400,5060,5720,6004,6288,6572,6856,7140,7510,7880,8250,8620,8990,9350,9710,10070,10430,10790,11170,11550,11930,12310,12690,3080
catalogs_90136b723766fffb2cc29e22378b0bf5,5.5x8.5,4/4 (Full Color Both Sides),80 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,3740,4400,5060,5720,6004,6288,6572,6856,7140,7510,7880,8250,8620,8990,9350,9710,10070,10430,10790,11170,11550,11930,12310,12690,3080
catalogs_7c8d64520f44f596e966a431fc4063e8,5.5x8.5,4/4 (Full Color Both Sides),80 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,3890,4590,5290,5990,6290,6590,6890,7190,7490,7870,8250,8630,9010,9390,9756,10122,10488,10854,11220,11606,11992,12378,12764,13150,3190
catalogs_ab306ddd781684c8abf370fbff716fb2,5.5x8.5,4/4 (Full Color Both Sides),84 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,3890,4590,5290,5990,6290,6590,6890,7190,7490,7870,8250,8630,9010,9390,9756,10122,10488,10854,11220,11606,11992,12378,12764,13150,3190
catalogs_05c0bd0fa60d8f0cf7f7fe7c9aa2a9a7,5.5x8.5,4/4 (Full Color Both Sides),84 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,4015,4740,5465,6190,6482,6774,7066,7358,7650,8038,8426,8814,9202,9590,9962,10334,10706,11078,11450,11844,12238,12632,13026,13420,3290
catalogs_4fcf61e7c1804c61c35bc7d6eeb68a58,5.5x8.5,4/4 (Full Color Both Sides),88 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,4015,4740,5465,6190,6482,6774,7066,7358,7650,8038,8426,8814,9202,9590,9962,10334,10706,11078,11450,11844,12238,12632,13026,13420,3290
